x,y
2.777401347305553436e+00,1.626918570211945791e+01
3.147219602406115868e+00,1.437160789258676274e+01
-6.400259283374964969e-01,2.176585595919756422e+00
4.146635770791951892e+00,2.336079611798017552e+01
2.062330919391842876e+00,1.102677493102139650e+01
-1.304569571767086877e+00,-4.928663331814929549e+00
4.128380135017706287e-01,2.338681735194326983e+00
-3.999217691728506274e+00,-1.816104838824266565e+01
2.298901169729302474e+00,1.343969389993349317e+01
3.811914964453122501e-01,7.545715666794073684e+00
2.333622504043395551e+00,3.038032097636586215e+00
-2.478975243831096353e+00,-9.208563106921323183e+00
-4.458500343856957038e+00,-2.008821999402463376e+01
5.836141375352488225e-01,7.133056023492783559e+00
4.241397961597048294e+00,2.750897339601917224e+01
-3.594075772227850685e+00,-1.841387389371120875e+01
2.181952374302059461e+00,6.742233269497934778e+00
-7.005294753839574895e-01,7.561043025556356767e+00
-1.668876012996378666e-01,2.436394744762886866e+00
6.670248700257130903e-01,3.466828756814989809e+00
1.121288885735882701e-01,4.770257956415169254e+00
-2.848109053685571546e+00,-1.544356156594259311e+01
-3.890013783292075367e+00,-1.560271825526062628e+01
-3.329635451347577657e+00,-1.807879756133731419e+01
2.039408258756728820e+00,1.195749341634308571e+01
-2.633946749324248771e+00,-7.912469523731784804e+00
-1.467765948293043854e+00,1.877079692112724629e+00
3.395842022314571551e+00,2.189056067848715514e+01
3.626198833629319385e+00,2.285081351340927824e+01
-2.680094830412442786e+00,-2.564110528089953434e+00
3.961868958461308488e+00,1.920026194843543266e+01
-4.558315434117870879e+00,-1.961228302537891466e+01
2.890638583682441975e+00,2.520858989019930618e+01
2.167443215084647878e+00,1.446541331904576388e+01
-4.573552589903528087e+00,-2.056045405869891241e+01
-1.908357009567537288e+00,-8.644941872312948306e+00
-1.605849991377412689e+00,1.517667649257998796e+00
-3.830404857148238307e+00,-1.591255636716164368e+01
-4.373690943036181444e+00,-1.708460827044372365e+01
-1.678092977081605541e+00,-1.345931879158640143e+01
-1.786905498675270820e+00,-1.378181906271851709e+01
-4.783893954540082483e+00,-2.599044344983649779e+01
-3.406131765477452333e+00,-8.542623340488955108e+00
5.632244085074145090e-01,1.896983694159084965e+00
-4.609265771854262894e+00,-1.882167170025808645e+01
-3.097821225208043927e+00,-1.496653463818809726e+01
3.847497048416842702e+00,2.426292272566406183e+01
3.485601725314032784e+00,1.781466634728844767e+01
4.541446223108782654e+00,2.278541387435581456e+01
-2.476211780451619049e+00,-2.153291972388186792e+01
